smiles,Similarity,MW,LogP,HBD,HBA,TPSA,RotB
COC1=CC=CC=C1C1=CC=NC(NC(C)C2=NN(C3=CC=CC=C3)C=C2)=N1,0.2857142857142857,371.4440000000001,4.511000000000003,1.0,5.0,64.86,6.0
COC(=O)C1=CC(C(=O)N2CCN(C3=NC=CC(C4=CSC=C4)=N3)CC(O)C2)=CN1C,0.26804123711340205,441.51300000000015,1.6534999999999995,1.0,8.0,100.79000000000002,4.0
CC1=CC=CN=C1CC(=O)NC(C1=NC(C2=CN(C)C3=CC=CC=C23)=CS1)C1CC1,0.2604166666666667,416.5500000000002,4.8152200000000045,1.0,4.0,59.81,6.0
CN1N=C(C2=CC3=CC=CN=C3N2)C2=CC=NC=C21,0.25316455696202533,249.27700000000002,2.5116000000000005,1.0,3.0,59.39,1.0
CN1CCCN(C2=CC=C(NC(=O)C3=CSC(C4=CC=CN=C4)=N3)C=C2)CC1,0.25274725274725274,393.51600000000013,3.599300000000002,1.0,6.0,61.36,4.0
CN1CCN(C2=CC(C(=O)NC(C3=NC(C4=CC=CNC4=O)=CS3)C3CC3)=CC=N2)CC1,0.25,450.5680000000002,2.526300000000001,2.0,7.0,94.21999999999998,6.0
COC1=CC=CC=C1C1=CC=NC(NCC2=C(C)OC(C3=CC=C(F)C=C3)=N2)=N1,0.25,390.41800000000006,4.866820000000003,1.0,6.0,73.07,6.0
COCC1=CC=CC(C(=O)N2CCC(NC3=NC(C4=CN(C)C5=CC=CC=C45)=CS3)C2)=C1,0.24752475247524752,446.57600000000014,4.7748000000000035,1.0,5.0,59.39,6.0
CC1=CC(CC(=O)N2CCN(C3=NC(C4=CN(C)C5=CC=CC=C45)=CS3)CC2)=CS1,0.24731182795698925,436.60600000000017,4.563020000000004,0.0,5.0,41.370000000000005,4.0
COC1=CC(C2=C3C(C)=CNC3=NC=C2)=CC2=CN(C)N=C12,0.24705882352941178,292.3420000000001,3.4336200000000003,1.0,3.0,55.73,2.0
CNC1=NC=CC(C2=CC=C(C)C3=C2NN=C3)=N1,0.24675324675324675,239.28199999999998,2.3700200000000002,2.0,4.0,66.49000000000001,2.0
CNC1=NC=CC(C2=C3C=CC=C(O)C3=CC=C2)=N1,0.24324324324324326,251.28900000000002,3.044100000000001,2.0,4.0,58.040000000000006,2.0
CN1C(C2=CNC3=NC=CC=C23)=NC2=CC=NC=C21,0.2375,249.27700000000002,2.5116000000000005,1.0,3.0,59.39,1.0
COC(=O)C1=CNC(C(=O)N2CC(F)CC2C2=NC(C3=CN(C)C4=CC=CC=C34)=CS2)=C1,0.23529411764705882,452.51100000000014,4.341800000000004,1.0,5.0,80.22,4.0
CC1=NNC=C1CNC1=NC=CC(C2=CN=CC=N2)=N1,0.2345679012345679,267.296,1.5772199999999996,2.0,6.0,92.27000000000001,4.0
CC1=NN(C2=CC=CC(Cl)=C2)N=C1C(=O)NC1=NC(C2=CN(C)N=C2)=CC=N1,0.23404255319148937,394.8260000000001,2.67192,1.0,6.0,103.41,4.0
COC1=CN=C2NC=C(C3=NC(C4=CC=NC=N4)=NO3)C2=C1,0.23255813953488372,294.27400000000006,2.0785,1.0,7.0,102.61,3.0
COC1=CC=CC=C1[C@H](C)NC1=NC2=CC=CC=C2C(N2CC[C@@H](OC3=CC=NC=C3)C2)=N1,0.23157894736842105,441.53500000000025,4.864200000000004,1.0,7.0,72.4,7.0
COC1=CC=C(C2=CSC(NC(=O)C3=CC=NC(N4CCC(C)C4)=C3)=N2)C=C1F,0.23,412.4900000000002,4.451300000000003,1.0,6.0,67.35,5.0
COC1=CC=CC=C1C(C)NC1=C2C=CC=CC2=NC(N(C)CC2=NC=CN2C)=N1,0.22826086956521738,402.5020000000002,4.181400000000002,1.0,6.0,68.1,7.0
CC1CN(C(=O)C2=CN(CCF)N=C2)CCN(C2=NC(C3=CC(F)=CC=C3)=CC=N2)C1,0.22772277227722773,426.47100000000006,3.047200000000002,0.0,5.0,67.15,5.0
CN1C=CC(C(=O)N2CC[C@H](NC3=NC=CC(C4=CC=CS4)=N3)C[C@H](O)C2)=CC1=O,0.22772277227722773,425.5140000000002,1.9813999999999996,2.0,7.0,100.35,4.0
COC1=CC=CN=C1C(C)NC1=NC2=CC(C)=CC=C2C(NC(C)CCC2=CN(C)N=C2)=N1,0.22772277227722773,445.5710000000002,4.681620000000003,2.0,7.0,89.78,9.0
COC1=CC(F)=CC(C(=O)N2CCCC(NC3=NC(C4=CC=NC=C4F)=CS3)C2)=C1,0.22772277227722773,430.48000000000013,4.208600000000003,1.0,6.0,67.35,5.0
COC1=CC=CC=C1[C@H](C)NC1=CC=NC(N2CCC3=C(C2)N=CN3C2=CC=C(C)C=C2)=N1,0.2268041237113402,440.5510000000002,4.715120000000003,1.0,6.0,68.1,6.0
